Dst Port,Idle Min,Total Fwd Packet,Total Bwd packets,Bwd Bytes/Bulk Avg,Packet Length Min,Bwd Segment Size Avg,Flow Packets/s,Bwd IAT Max,Fwd URG Flags,Packet Length Std,Active Min,Src Port,Protocol,Fwd Packet Length Std,Bwd Packet Length Min,Flow Bytes/s,Fwd IAT Std,Fwd PSH Flags,Bwd Packets/s,FIN Flag Count,SYN Flag Count,RST Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Bwd Bulk Rate Avg,Subflow Fwd Bytes,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Seg Size Min,Active Std,Idle Std,Label,Traffic Type
0,0.0,1.0,1.0,0.0,0.0,0.0,125.3211354094868,0.0,0.0,28.867513459481287,0.0,30682.0,6.0,0.0,0.0,3133.02838523717,0.0,0.0,62.6605677047434,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,512.0,0.0,20.0,0.0,0.0,Malicious,DoS
0,0.0,1.0,1.0,0.0,0.0,0.0,41.63977431242323,0.0,0.0,288.67513459481285,0.0,27247.0,6.0,0.0,0.0,10409.943578105807,0.0,0.0,20.81988715621161,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,512.0,0.0,20.0,0.0,0.0,Malicious,DoS
0,0.0,1.0,1.0,0.0,0.0,0.0,110.45452035124536,0.0,0.0,28.867513459481287,0.0,60321.0,6.0,0.0,0.0,2761.3630087811343,0.0,0.0,55.22726017562268,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1000.0,0.0,20.0,0.0,0.0,Malicious,DoS
0,0.0,1.0,1.0,0.0,0.0,0.0,17.451093310995933,0.0,0.0,277.1281292110204,0.0,6349.0,6.0,0.0,0.0,4188.262394639024,0.0,0.0,8.725546655497967,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,512.0,0.0,40.0,0.0,0.0,Malicious,DoS
20615,0.0,1.0,1.0,0.0,0.0,0.0,86.4304235090752,0.0,0.0,0.0,0.0,2397.0,6.0,0.0,0.0,0.0,0.0,0.0,43.2152117545376,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,512.0,0.0,20.0,0.0,0.0,Malicious,Information Gathering
1234,0.0,3402.0,0.0,4477032.0,1316.0,0.0,62.69907231912258,0.0,0.0,0.0,0.0,39250.0,17.0,0.0,0.0,82511.97917196531,57161.567692303135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82511.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,Benign,Video
0,10447578.0,2.0,0.0,0.0,1356.0,0.0,0.1914319280506927,0.0,0.0,0.0,0.0,12395.0,6.0,0.0,0.0,259.5816944367393,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2712.0,0.0,50.0,0.0,20.0,0.0,0.0,Malicious,DoS
0,0.0,1.0,1.0,0.0,0.0,0.0,35.30699431557392,0.0,0.0,782.8869650211325,0.0,9811.0,6.0,0.0,0.0,23938.142145959115,0.0,1.0,17.65349715778696,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1000.0,0.0,20.0,0.0,0.0,Malicious,DoS
0,0.0,1.0,1.0,0.0,0.0,0.0,76.78722260615834,0.0,1.0,17.320508075688775,0.0,52180.0,6.0,0.0,0.0,1151.808339092375,0.0,0.0,38.39361130307917,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,512.0,0.0,40.0,0.0,0.0,Malicious,DoS
0,5982416.0,6.0,0.0,0.0,500.0,0.0,0.3334654782920365,0.0,0.0,0.0,8923587.0,3807.0,17.0,0.0,0.0,166.73273914601825,1333720.402838166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,8.0,0.0,0.0,Malicious,DoS
0,0.0,2.0,1.0,0.0,0.0,0.0,6.060887677609263,0.0,0.0,25.0,0.0,30703.0,6.0,0.0,0.0,202.0295892536421,0.0,0.0,2.0202958925364207,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,20.0,0.0,0.0,Malicious,DoS
11735,0.0,1.0,1.0,0.0,0.0,0.0,88.07080893038003,0.0,0.0,0.0,0.0,1892.0,6.0,0.0,0.0,0.0,0.0,0.0,44.03540446519001,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,512.0,0.0,20.0,0.0,0.0,Malicious,Information Gathering
