FIN Flag Count,Active Std,Protocol,Fwd Seg Size Min,ECE Flag Count,Total Fwd Packet,Bwd IAT Max,Bwd Packet Length Min,Flow Bytes/s,Total Bwd packets,RST Flag Count,Subflow Bwd Bytes,Dst Port,Fwd Packet Length Std,Src Port,FWD Init Win Bytes,Down/Up Ratio,Idle Std,Packet Length Std,SYN Flag Count,Idle Min,Active Min,Fwd IAT Std,Fwd PSH Flags,Bwd Bytes/Bulk Avg,Bwd Bulk Rate Avg,Traffic Type,Subflow Fwd Bytes,Bwd Segment Size Avg,CWR Flag Count,Flow Packets/s,Bwd Packets/s,Label,Fwd URG Flags,Bwd Init Win Bytes,Packet Length Min
0.0,0.0,6.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,56388,0.0,1181.0,512.0,0.0,0.0,0.0,0.0,10044129.0,0.0,0.0,0.0,0.0,0.0,Information Gathering,0.0,0.0,0.0,0.1991212976257075,0.0,Malicious,0.0,0.0,0.0
0.0,0.0,6.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,8338,0.0,2963.0,512.0,0.0,0.0,0.0,0.0,5048629.0,0.0,0.0,0.0,0.0,0.0,Information Gathering,0.0,0.0,0.0,0.3961471520287983,0.0,Malicious,0.0,0.0,0.0
1.0,0.0,6.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,426,0.0,2759.0,512.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Information Gathering,0.0,0.0,0.0,62.21807435059885,31.109037175299424,Malicious,0.0,0.0,0.0
0.0,0.0,6.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,62335,0.0,1553.0,512.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Information Gathering,0.0,0.0,0.0,77.53741180119407,38.76870590059704,Malicious,1.0,0.0,0.0
0.0,0.0,6.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,24450,0.0,1207.0,512.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Information Gathering,0.0,0.0,0.0,19.028047341781782,9.514023670890891,Malicious,0.0,0.0,0.0
0.0,0.0,6.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,7074,0.0,2963.0,512.0,0.0,0.0,0.0,0.0,5062968.0,0.0,0.0,0.0,0.0,0.0,Information Gathering,0.0,0.0,0.0,0.3950252105089347,0.0,Malicious,0.0,0.0,0.0
0.0,0.0,6.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,33869,0.0,2963.0,512.0,0.0,0.0,0.0,0.0,5155924.0,0.0,0.0,0.0,0.0,0.0,Information Gathering,0.0,0.0,0.0,0.3879033127718717,0.0,Malicious,0.0,0.0,0.0
0.0,0.0,6.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,40846,0.0,1181.0,512.0,0.0,0.0,0.0,0.0,9689955.0,0.0,0.0,0.0,0.0,0.0,Information Gathering,0.0,0.0,0.0,0.2063993073239246,0.0,Malicious,0.0,0.0,0.0
2.0,0.0,6.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,31906,0.0,2389.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Information Gathering,0.0,0.0,0.0,4.100806013421938,0.0,Malicious,0.0,0.0,0.0
0.0,0.0,6.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5577,0.0,2103.0,512.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Information Gathering,0.0,0.0,0.0,26.68054054775149,13.340270273875747,Malicious,0.0,0.0,0.0
0.0,0.0,6.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,51946,0.0,2963.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Information Gathering,0.0,0.0,0.0,0.4023492367233805,0.0,Malicious,0.0,0.0,0.0
0.0,0.0,6.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,50901,0.0,1207.0,512.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Information Gathering,0.0,0.0,0.0,69.55070246209486,34.77535123104743,Malicious,0.0,0.0,0.0
0.0,0.0,6.0,40.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,18288,0.0,58192.0,65280.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Information Gathering,0.0,0.0,0.0,84.56302059109552,42.28151029554776,Malicious,0.0,0.0,0.0
0.0,0.0,6.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2932,0.0,1181.0,512.0,0.0,0.0,0.0,0.0,5044550.0,0.0,0.0,0.0,0.0,0.0,Information Gathering,0.0,0.0,0.0,0.3964674747995361,0.0,Malicious,0.0,0.0,0.0
0.0,0.0,6.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,54414,0.0,1181.0,512.0,0.0,0.0,0.0,0.0,10509412.0,0.0,0.0,0.0,0.0,0.0,Information Gathering,0.0,0.0,0.0,0.1903056041574923,0.0,Malicious,0.0,0.0,0.0
